id,user_id,role,created_at
bbdad707-4776-40b7-b215-3f450feb85f6,4a109fda-4764-4495-b42c-584df3022e56,admin;2026-01-25 01:03:56.287475+00
f65425bb-1482-4fc7-b628-171130f9e109,47ff3a60-cb8d-445a-a31d-bc6841c6db37,supervisor,2026-01-29 05:21:38.769101+00
8ad55758-0bd5-4421-8865-c5f7bd42c79f,e2c6d272-acd2-4b23-a794-3bfcd77faf34,vp,2026-02-04 12:57:28.326398+00
54570249-f6ac-4ca8-9270-b0eb36d46e2,cfcff08c-afa5-4aca-b49c-8841eab08f00,coo,2026-02-06 10:00:32.40943+00
